scenario_id,target_actor_id,num_modes,top1_mode,top1_probability,top1_min_distance,worst_case_mode,worst_case_probability,worst_case_min_distance,ground_truth_min_distance,multimodal_gap,unsafe_mode_count,unsafe_probability_mass,severity_weighted_risk,top1_event,worst_case_event,ground_truth_event,mode_min_distances
00ef7d7b-4709-4429-8714-48cfea6b4dde,34327,6,1,0.5282139182090759,5.235066749995783,0,0.00017335842130705714,5.2198254657078795,5.247133650788815,0.015241284287903056,0,0.0,0.0,False,False,False,"[5.2198254657078795, 5.235066749995783, 5.2251122637288665, 5.241826285539777, 5.234516572105294, 5.247210381656601]"
00f0977f-caf9-4781-b2b6-9747cbb7e7a3,3382,6,2,0.5575469732284546,22.758787937978617,5,7.886477533247671e-07,22.42599386338016,22.785729899543355,0.332794074598457,0,0.0,0.0,False,False,False,"[22.953447076408803, 22.668710088431787, 22.758787937978617, 22.515286593306406, 22.584011403481412, 22.42599386338016]"
00f1879f-ec21-4a4c-9c7b-84648379249b,24744,6,3,0.3461170196533203,86.49623791093705,5,0.33385083079338074,83.22308771975172,91.84516960429957,3.273150191185337,0,0.0,0.0,False,False,False,"[98.54190514673772, 90.7006795654331, 93.68153739959283, 86.49623791093705, 88.56790745833662, 83.22308771975172]"
00f4189b-4296-4f07-a2b5-787c0db651ff,104998,6,3,0.3202883005142212,6.477689031909114,4,0.004559591878205538,0.6453233417773275,7.196128509010138,5.832365690131787,1,0.004559591878205538,0.010736364566632253,False,True,False,"[10.852581753522802, 4.477299820926248, 8.159791623264546, 6.477689031909114, 0.6453233417773275, 11.219144992197293]"
00f65fe7-7d7c-4feb-9618-2742362cc12f,14152,6,1,0.5200362205505371,10.04221961106953,5,0.058792684227228165,9.16552757644023,9.989663800253425,0.8766920346293006,0,0.0,0.0,False,False,False,"[10.060279901339605, 10.04221961106953, 10.047505464431625, 10.024647267486316, 10.040882652313433, 9.16552757644023]"
00faa003-edc2-4184-b159-26155d40fdcb,123659,6,2,0.2938980460166931,5.4149696754983925,3,0.03137337788939476,3.551753198045361,7.181321957655547,1.8632164774530313,0,0.0,0.0,False,False,False,"[6.017708637985249, 8.322961781267699, 5.4149696754983925, 3.551753198045361, 6.665944642248713, 4.802902808228001]"
01069700-248e-4881-843a-d41206389020,606,6,4,0.29451826214790344,11.523875758355594,0,0.004497692454606295,10.744282915525032,11.580678254171353,0.7795928428305618,0,0.0,0.0,False,False,False,"[10.744282915525032, 11.472306973235627, 11.418226667212874, 11.545510075879509, 11.523875758355594, 11.572932537836522]"
01097a43-cccc-4ea1-97f7-c24bd10a8234,123913,6,2,0.31058594584465027,2.808570458497308,5,0.00017617121920920908,2.7276347874589546,3.2701430232627957,0.08093567103835353,6,1.0000000795407686,0.21431695298155162,True,True,False,"[2.7697343738355107, 2.7800115147744955, 2.808570458497308, 2.7937526989823516, 2.773563704507098, 2.7276347874589546]"
0109ca7d-7ec2-4530-bfb1-4c7d1feb892d,18741,6,3,0.42341771721839905,17.82190915647428,5,0.2351563721895218,15.686673154450718,19.664973414437906,2.1352360020235626,0,0.0,0.0,False,False,False,"[19.66595987290638, 19.660589931122793, 19.66256288676321, 17.82190915647428, 19.105492967189743, 15.686673154450718]"
010cc179-827b-433c-a14d-c2b27ee9ded7,57509,6,4,0.35263001918792725,4.0687593290043305,0,0.015868553891777992,4.0644742790085955,3.933283508552294,0.00428504999573498,0,0.0,0.0,False,False,False,"[4.0644742790085955, 4.078801557537702, 4.075811396672503, 4.129091273107727, 4.0687593290043305, 4.076294594175398]"
