policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
risk_score,risk_mass,rho,0.5,500,8,12,0.024,5,7,7,3,485,0.625,0.4166666666666667,0.014227642276422764,0.5
risk_score,risk_mass,rho,0.546128336340189,500,8,12,0.024,5,7,7,3,485,0.625,0.4166666666666667,0.014227642276422764,0.5
risk_score,risk_mass,rho,0.55,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.6,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.65,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.7,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.7071896195411682,500,8,11,0.022,5,6,6,3,486,0.625,0.45454545454545453,0.012195121951219513,0.5263157894736842
risk_score,risk_mass,rho,0.7089383825659752,500,8,10,0.02,5,5,5,3,487,0.625,0.5,0.01016260162601626,0.5555555555555556
risk_score,risk_mass,rho,0.75,500,8,9,0.018,5,4,4,3,488,0.625,0.5555555555555556,0.008130081300813009,0.5882352941176471
risk_score,risk_mass,rho,0.8,500,8,9,0.018,5,4,4,3,488,0.625,0.5555555555555556,0.008130081300813009,0.5882352941176471
risk_score,risk_mass,rho,0.85,500,8,9,0.018,5,4,4,3,488,0.625,0.5555555555555556,0.008130081300813009,0.5882352941176471
risk_score,risk_mass,rho,0.854192465543747,500,8,9,0.018,5,4,4,3,488,0.625,0.5555555555555556,0.008130081300813009,0.5882352941176471
risk_score,risk_mass,rho,0.9,500,8,8,0.016,5,3,3,3,489,0.625,0.625,0.006097560975609756,0.625
risk_score,risk_mass,rho,0.95,500,8,8,0.016,5,3,3,3,489,0.625,0.625,0.006097560975609756,0.625
risk_score,risk_mass,rho,0.9812108129262924,500,8,8,0.016,5,3,3,3,489,0.625,0.625,0.006097560975609756,0.625
risk_score,risk_mass,rho,0.9885613992810249,500,8,7,0.014,5,2,2,3,490,0.625,0.7142857142857143,0.0040650406504065045,0.6666666666666666
risk_score,risk_mass,rho,0.9982573874294758,500,8,6,0.012,4,2,2,4,490,0.5,0.6666666666666666,0.0040650406504065045,0.5714285714285715
risk_score,risk_mass,rho,0.9999999411520548,500,8,5,0.01,4,1,1,4,491,0.5,0.8,0.0020325203252032522,0.6153846153846154
risk_score,risk_mass,rho,1.0,500,8,4,0.008,3,1,1,5,491,0.375,0.75,0.0020325203252032522,0.5
risk_score,risk_mass,rho,1.000000003259629,500,8,4,0.008,3,1,1,5,491,0.375,0.75,0.0020325203252032522,0.5
risk_score,risk_mass,rho,1.0000000051222742,500,8,3,0.006,2,1,1,6,491,0.25,0.6666666666666666,0.0020325203252032522,0.36363636363636365
risk_score,risk_mass,rho,1.000000019063009,500,8,2,0.004,1,1,1,7,491,0.125,0.5,0.0020325203252032522,0.2
risk_score,risk_mass,rho,1.0000000795407686,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,risk_mass,rho,1.0000000795407689,500,8,0,0.0,0,0,0,8,492,0.0,0.0,0.0,0.0
